Network_ID Network_ID_LR
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
3 3
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 2
2 9
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
7 14
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
6 13
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
3 10
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
5 12
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
4 11
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
1 8
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
2 9
