Volume Strength Degree Hemisphere
130 -2.71744902309568 4 1
216 -2.08508424880171 7 1
198 2.40270438126207 8 1
106 1.99214662090124 12 1
88 0.916445694364045 8 1
98 0.613706765309327 9 1
338 2.70617981532387 6 1
226 -4.26778572080166 4 1
172 4.43206428977891 10 1
132 0.941953024174817 10 1
206 1.05699021495816 10 1
207 -1.19868763297483 9 1
245 1.83626348928461 11 1
240 -1.63968485020932 5 1
121 -0.560332586977291 12 1
165 4.62676609184456 11 1
107 3.15526559234193 9 1
42 -3.80522564433432 8 1
160 0.993623149927972 9 1
190 -3.26766973312354 6 1
201 1.26562458752462 7 1
116 -3.64071294233735 11 1
90 -0.480942126425282 4 1
90 2.4992285534772 10 1
108 5.3516642510447 10 1
130 -2.03635044696604 5 2
216 0.44494916313181 5 2
198 -5.04773413073175 10 2
106 1.34121491876239 12 2
88 -1.82512809650313 11 2
98 -4.33531418586564 11 2
338 4.12495595328948 13 2
226 -1.20238842245549 6 2
172 1.87162034364442 10 2
132 4.96843628931642 7 2
206 -3.58695367766743 10 2
207 -0.0674137354725559 4 2
245 4.68116629223275 11 2
240 3.64846802659887 10 2
121 -0.268928491524121 2 2
165 -1.63733471126165 8 2
107 -3.02951423204666 8 2
42 -3.73657675319532 11 2
160 0.713803081657873 5 2
190 -0.387907317460841 6 2
201 -3.56521831847946 13 2
116 0.758650546136573 8 2
90 2.99847850885577 10 2
90 -1.40376902237214 9 2
108 3.65339993883912 7 2
