Volume Strength Degree Hemisphere
85 -0.418537246918382 9 1
45 -0.771307661484248 10 1
199 -1.25634158603388 12 1
139 -0.0851296489078312 9 1
216 -1.81702075252354 10 1
198 2.81253988802937 11 1
106 1.32046223005512 10 1
88 1.17690354218729 4 1
98 -3.74580953603088 13 1
226 -0.691191249708342 12 1
172 -1.41559131222134 11 1
132 -2.68065847512849 10 1
206 6.07744817247638 12 1
207 -0.267068055725396 6 1
245 -0.553255459292977 14 1
240 3.94575475092842 5 1
121 0.828794225132676 6 1
165 2.61938707154534 10 1
107 3.81350025739049 7 1
42 -1.32810606983012 10 1
160 -0.510698843738866 7 1
190 1.52531867224528 12 1
201 2.40738366004691 9 1
116 -5.53083394723542 10 1
90 -2.65625557222495 9 1
90 0.304165654602253 12 1
108 -2.47610703871649 14 1
85 -0.265313834840224 7 2
45 -2.45005040663772 8 2
199 2.19551878989648 9 2
139 -1.51400642891857 12 2
216 2.52948119021596 9 2
198 -0.620609871740483 10 2
106 -3.4547856958625 11 2
88 -1.25016868727782 14 2
98 7.96595151832583 14 2
226 -1.09393222197406 7 2
172 -3.18141449464122 14 2
132 0.705831794527687 13 2
206 -2.03370005825136 6 2
207 5.43980753784774 8 2
245 -1.06731067244056 7 2
240 -5.273606902866 12 2
121 -0.28055884518899 11 2
165 -0.767125953243188 15 2
107 -3.80898268773631 9 2
42 0.722423250754578 6 2
160 6.86457719568027 14 2
190 -1.87533481369702 9 2
201 1.81027506406989 13 2
116 2.85851715640111 11 2
90 3.16394991193439 8 2
90 -3.06139332872886 9 2
108 2.50587550722824 14 2
